一,a
一丁点,a
一丝丝,a
一切,a
一口,a
一团糟,a
一块儿,a
一大,a
一大批,a
一天天,a
一定,a
一定量,a
一小,a
一小撮,a
一屁股,a
一年生,a
一度,a
一律,a
一心,a
一揽子,a
一新,a
一晃,a
一样,a
一次性,a
一殷,a
一水,a
一流,a
一溜溜,a
一溜烟,a
一点点,a
一片汪洋,a
一片红,a
一直,a
一祥,a
一等,a
一系列,a
一线,a
一缕缕,a
一联串,a
一致,a
一般,a
一般性,a
一色,a
一表堂堂,a
一贯,a
一贯正确,a
一踏糊涂,a
一边,a
一连串,a
七彩,a
万,a
万全,a
万分,a
万寿,a
万幸,a
万恶,a
万状,a
万端,a
万能,a
万般,a
万难,a
三八式,a
三流,a
上,a
上上,a
上乘,a
上亢,a
上佳,a
上好,a
上层,a
上心,a
上相,a
上等,a
上算,a
上进,a
下中等,a
下作,a
下流,a
下等,a
下贱,a
不,a
不一,a
不一样,a
不专,a
不严,a
不中,a
不丰,a
不久,a
不乐,a
不人道,a
不仁,a
不佳,a
不便,a
不俗,a
不倦,a
不像话,a
不全,a
不公,a
不净,a
不准,a
不凡,a
不利,a
不力,a
不及,a
不及时,a
不合,a
不同,a
不周,a
不和,a
不善,a
不均,a
不坏,a
不坚,a
不堪,a
不多,a
不够,a
不大,a
不好,a
不好好,a
不妙,a
不妥,a
不孝,a
不宁,a
不安,a
不安定,a
不定,a
不定期,a
不宜,a
不实,a
不客气,a
不对,a
不对劲,a
不对头,a
不小,a
不少,a
不尽,a
不尽然,a
不屑,a
不巧,a
不干不脆,a
不平,a
不平等,a
不平衡,a
不幸,a
不广,a
不弱,a
不当,a
不得了,a
不得劲,a
不得已,a
不忠,a
不快,a
不忿,a
不怎么样,a
不恭,a
不悦,a
不惑,a
不意,a
不慎,a
不慢,a
不懈,a
不成器,a
不成文,a
不成话,a
不拔,a
不振,a
不支,a
不敏,a
不整,a
不断,a
不方便,a
不时,a
不明,a
不易,a
不是,a
不是味,a
不景气,a
不智,a
不朽,a
不枉,a
不毛,a
不法,a
不洁,a
不济,a
不济事,a
不清,a
不满,a
不灵,a
不然,a
不爽,a
不畅,a
不着边际,a
不知趣,a
不确,a
不确定,a
不祥,a
不端,a
不等,a
不等位,a
不简单,a
不经,a
不羁,a
不老,a
不肖,a
不腐,a
不自觉,a
不致,a
不良,a
不苟,a
不薄,a
不虚,a
不行,a
不衰,a
不要紧,a
不规则,a
不详,a
不谬,a
不象话,a
不豫,a
不赖,a
不起眼,a
不足,a
不轨,a
不轻,a
不辞妙,a
不过,a
不过份,a
不过意,a
不近,a
不远,a
不迭,a
不适,a
不逊,a
不通,a
不速,a
不遐,a
不遑,a
不道德,a
不错,a
不难,a
不韪,a
不顺,a
不驯,a
丑,a
丑怪,a
丑恶,a
丑陋,a
专,a
专一,a
专业,a
专业化,a
专制,a
专化,a
专心,a
专心专意,a
专断,a
专横,a
专注,a
专职,a
专诚,a
专门,a
世,a
世故,a
业余,a
丛,a
丝,a
丝毫,a
丝状,a
丢人,a
丢孬,a
两便,a
两样,a
两用,a
两难,a
严,a
严严,a
严严实实,a
严严密密,a
严严谨谨,a
严刻,a
严励,a
严厉,a
严实,a
严密,a
严寒,a
严峻,a
严整,a
严明,a
严格,a
严森森,a
严正,a
严然,a
严竣,a
严紧,a
严肃,a
严苛,a
严谨,a
严酷,a
严重,a
丧气,a
丧胆,a
个,a
个别,a
个大,a
个把,a
个独,a
个统一,a
中,a
中听,a
中和,a
中品,a
中型,a
中小,a
中小型,a
中常,a
中庸,a
中式,a
中心,a
中意,a
中档,a
中正,a
中用,a
中看,a
中短,a
中等,a
中级,a
中肯,a
中长,a
中间,a
丰,a
丰厚,a
丰富,a
丰富多彩,a
丰富性,a
丰收,a
丰沛,a
丰润,a
丰溢,a
丰满,a
丰盈,a
丰盛,a
丰硕,a
丰美,a
丰腴,a
丰茂,a
丰裕,a
丰足,a
丰隆,a
丰饶,a
临时,a
临时性,a
丹,a
为,a
为难,a
主,a
主从,a
主动,a
主导,a
主次,a
主要,a
主要地,a
主观,a
主贵,a
丽,a
举,a
久,a
久久,a
久旱,a
久远,a
久长,a
义,a
义务,a
义勇,a
义气,a
之久,a
之多,a
乌,a
乌亮,a
乌暗,a
乌油油,a
乌洞洞,a
乌溜溜,a
乌漆麻黑,a
乌烟瘴气,a
乌紫,a
乌蓝,a
乌里红,a
乌青,a
乌黑,a
乌黑乌黑,a
乍暖还寒,a
乎乎,a
乏,a
乏力,a
乏味,a
乐,a
乐乐,a
乐乐呵呵,a
乐乐融融,a
乐呵,a
乐呵呵,a
乐和和,a
乐哈哈,a
乐嗬嗬,a
乐天,a
乐悠悠,a
乐意,a
乐滋滋,a
乐盈盈,a
乐观,a
乐陶陶,a
乐颠颠,a
乔,a
乖,a
乖乖,a
乖僻,a
乖巧,a
乖张,a
乖戾,a
乖漓,a
乖觉,a
乞,a
也好,a
习,a
习习,a
习惯,a
乡僻,a
乱,a
乱七八糟,a
乱乱,a
乱乱哄哄,a
乱咕咕,a
乱哄哄,a
乱嘈嘈,a
乱滋滋,a
乱烘烘,a
乱糟糟,a
乱纷纷,a
乱蓬蓬,a
乱轰轰,a
乳,a
乳白,a
乳白色,a
乳黄,a
乾乾脆脆,a
了,a
了不得,a
了不起,a
了得,a
争气,a
二尖瓣狭窄,a
二心,a
二样,a
二重,a
于奇,a
于脆,a
亏心,a
五光十色,a
五彩斑烂,a
五百多,a
五短身材,a
五花八门,a
五颜六色,a
井,a
井然,a
亚,a
亚于,a
些小,a
些微,a
亡,a
亢,a
亢奋,a
亦然,a
亨,a
亨通,a
享,a
亭,a
亭亭,a
亮,a
亮亮,a
亮亮堂堂,a
亮亮闪闪,a
亮儿,a
亮光光,a
亮堂,a
亮堂堂,a
亮晃晃,a
亮晶晶,a
亮沙沙,a
亮灼灼,a
亮灿灿,a
亮闪闪,a
亮黄黄,a
亲,a
亲亲密密,a
亲亲热热,a
亲切,a
亲和,a
亲善,a
亲密,a
亲昵,a
亲热,a
亲爱,a
亲爱的,a
亲生,a
亲疏,a
亲身,a
亲近,a
亵,a
人为,a
人均,a
人大,a
人工,a
人造,a
什,a
仁,a
仁义,a
仁信,a
仁厚,a
仁慈,a
仁爱,a
仄,a
仄仄,a
仆仆,a
仇恨,a
介,a
介多,a
介大,a
仍旧,a
从,a
从从容容,a
从头,a
从容,a
从属,a
仓促,a
仓卒,a
仓忙,a
仓惶,a
仓猝,a
仓皇,a
仔仔细细,a
仔细,a
仗义,a
令,a
以小,a
以庄,a
仪表堂堂,a
价值,a
任,a
任一,a
任何,a
任性,a
任意,a
份内,a
伏地,a
众,a
众多,a
优,a
优于,a
优先,a
优劣,a
优势,a
优厚,a
优异,a
优恤,a
优惠,a
优柔,a
优柔寡断,a
优渥,a
优游,a
优秀,a
优等,a
优美,a
优良,a
优裕,a
优质,a
优越,a
优逸,a
优闲,a
优雅,a
会心,a
伛偻,a
伟,a
伟丽,a
伟大,a
伟岸,a
伟烈,a
传奇,a
传神,a
传统,a
伤,a
伤心,a
伤神,a
伦,a
伧,a
伪,a
伪劣,a
伪善,a
伶,a
伶仃,a
伶俐,a
伶利,a
伶巧,a
伸张,a
伸抖,a
似,a
佇立,a
低,a
低下,a
低于,a
低低,a
低俗,a
低劣,a
低哑,a
低回悲恻,a
低平,a
低幽幽,a
低廉,a
低弱,a
低微,a
低效,a
低柔,a
低档,a
低沉,a
低洼,a
低热,a
低矮,a
低等,a
低级,a
低缓,a
低落,a
低贱,a
低速,a
佐杂,a
体,a
体健,a
体弱,a
体衰,a
体面,a
余,a
余裕,a
作古正经,a
佝偻,a
佳,a
佳景,a
佼佼,a
侃侃,a
侈,a
侉,a
依一定,a
依依,a
依旧,a
依然,a
依稀,a
侠义,a
侥,a
侥幸,a
侧,a
侧向,a
侮慢,a
侷,a
便,a
便利,a
便宜,a
便当,a
便捷,a
便携式,a
促狭,a
俄然,a
俊,a
俊俏,a
俊悄,a
俊气,a
俊秀,a
俊美,a
俊逸,a
俊雅,a
俏,a
俏丽,a
俏俏美美,a
俏儿,a
俏小,a
俏皮,a
俐,a
俐索,a
俐落,a
俗,a
俗气,a
保俭,a
保守,a
保暖,a
保温,a
保险,a
信,a
信义,a
信实,a
俣,a
俨,a
俨然,a
俪,a
俭,a
俭俭朴朴,a
俭啬,a
俭朴,a
俭省,a
俭约,a
修,a
修明,a
修远,a
修长,a
俱全,a
俱寂,a
俳,a
倅,a
倍,a
倏,a
倒,a
倒楣,a
倒霉,a
倔,a
倔强,a
倔犟,a
倜傥,a
倜然惕厉,a
倡,a
倥偬,a
倦,a
倦怠,a
倨,a
倨傲,a
倩,a
值,a
值得,a
值钱,a
倾斜,a
假,a
假假真真,a
假性,a
假恶丑,a
假惺惺,a
偌多,a
偌大,a
偏,a
偏偏倒倒,a
偏僻,a
偏心,a
偏执,a
偏激,a
偏狭,a
偏远,a
偏颇,a
偏高,a
做作,a
停,a
停停当当,a
停当,a
健,a
健全,a
健壮,a
健实,a
健康,a
健忘,a
健旺,a
健朗,a
健美,a
健谈,a
偬倥,a
偶,a
偶然,a
偷,a
偷偷,a
偷偷摸摸,a
偷快,a
偻,a
傥,a
傲,a
傲岸,a
傲慢,a
傲气,a
傲然,a
傻,a
傻乎乎,a
傻傻,a
傻呆呆,a
傻呵呵,a
傻呼呼,a
傻楞楞,a
傻气,a
像样,a
僧恶,a
僵,a
僵冷,a
僵化,a
僵直,a
僵硬,a
僻,a
僻远,a
僻野,a
僻静,a
儒雅,a
兀,a
元,a
充份,a
充充裕裕,a
充分,a
充实,a
充沛,a
充盈,a
充裕,a
充要,a
充足,a
先,a
先决,a
先进,a
先遣,a
光,a
光亮,a
光光,a
光光亮亮,a
光光滑滑,a
光光生生,a
光净净,a
光彩,a
光明,a
光洁,a
光润,a
光溜,a
光溜溜,a
光滑,a
光灿灿,a
光秃,a
